epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.3258,0.89852,0.74943,1,0.64327,0.000328767,0.000328767,0.0674521
2,95.0082,0.59919,0.81777,1,0.43457,0.000655546,0.000655546,0.0344455
3,139.88,0.49187,0.73349,1,0.84557,0.000975724,0.000975724,0.00143235
4,184.628,0.42644,0.81093,1,0.62425,0.0009703,0.0009703,0.0009703
5,229.166,0.3926,0.83144,1,0.57787,0.0009604,0.0009604,0.0009604
6,274.256,0.33322,0.82916,1,0.48161,0.0009505,0.0009505,0.0009505
7,318.718,0.31106,0.77449,1,0.75909,0.0009406,0.0009406,0.0009406
8,363.2,0.31721,0.80866,1,0.56664,0.0009307,0.0009307,0.0009307
9,408.071,0.30499,0.87699,1,0.39363,0.0009208,0.0009208,0.0009208
10,452.558,0.26666,0.87016,1,0.41417,0.0009109,0.0009109,0.0009109
11,497.663,0.25543,0.87244,1,0.48811,0.000901,0.000901,0.000901
12,542.632,0.25294,0.87016,1,0.50551,0.0008911,0.0008911,0.0008911
13,587.493,0.22668,0.82688,1,0.55609,0.0008812,0.0008812,0.0008812
14,632.173,0.23379,0.86105,1,0.50231,0.0008713,0.0008713,0.0008713
15,677.051,0.24289,0.88155,1,0.51424,0.0008614,0.0008614,0.0008614
16,721.471,0.18843,0.8656,1,0.49577,0.0008515,0.0008515,0.0008515
17,766.039,0.21542,0.88383,1,0.43569,0.0008416,0.0008416,0.0008416
18,810.993,0.18694,0.8861,1,0.48494,0.0008317,0.0008317,0.0008317
19,855.776,0.19615,0.8656,1,0.70685,0.0008218,0.0008218,0.0008218
20,900.808,0.18639,0.88838,1,0.43071,0.0008119,0.0008119,0.0008119
21,945.394,0.15212,0.87244,1,0.54175,0.000802,0.000802,0.000802
22,990.416,0.15409,0.87472,1,0.46934,0.0007921,0.0007921,0.0007921
23,1035.38,0.15891,0.84738,1,0.74071,0.0007822,0.0007822,0.0007822
24,1079.87,0.1751,0.87472,1,0.52165,0.0007723,0.0007723,0.0007723
25,1124.87,0.15679,0.89066,1,0.50387,0.0007624,0.0007624,0.0007624
26,1169.19,0.14811,0.88383,1,0.50062,0.0007525,0.0007525,0.0007525
27,1213.51,0.135,0.86105,1,0.54827,0.0007426,0.0007426,0.0007426
28,1256.96,0.13209,0.89294,1,0.41647,0.0007327,0.0007327,0.0007327
29,1301.22,0.12674,0.86105,1,0.59003,0.0007228,0.0007228,0.0007228
30,1345.18,0.13326,0.85421,1,0.61625,0.0007129,0.0007129,0.0007129
31,1389.73,0.14132,0.88383,1,0.48539,0.000703,0.000703,0.000703
32,1434.19,0.12454,0.88383,1,0.52454,0.0006931,0.0006931,0.0006931
33,1478.54,0.11108,0.89522,1,0.40599,0.0006832,0.0006832,0.0006832
34,1523.07,0.10185,0.89522,1,0.40807,0.0006733,0.0006733,0.0006733
35,1567.71,0.0891,0.89977,1,0.46775,0.0006634,0.0006634,0.0006634
36,1613.91,0.10948,0.89066,1,0.47561,0.0006535,0.0006535,0.0006535
37,1659.82,0.08155,0.87927,1,0.53735,0.0006436,0.0006436,0.0006436
38,1703.81,0.09906,0.88838,1,0.43977,0.0006337,0.0006337,0.0006337
39,1747.93,0.1154,0.88155,1,0.44418,0.0006238,0.0006238,0.0006238
40,1792.38,0.11541,0.89522,1,0.46132,0.0006139,0.0006139,0.0006139
41,1836.91,0.1771,0.87699,1,0.55305,0.000604,0.000604,0.000604
42,1881.64,0.12516,0.90433,1,0.48111,0.0005941,0.0005941,0.0005941
43,1926.51,0.11386,0.88383,1,0.49888,0.0005842,0.0005842,0.0005842
44,1971.73,0.07937,0.89749,1,0.47637,0.0005743,0.0005743,0.0005743
45,2016.38,0.07775,0.8861,1,0.50311,0.0005644,0.0005644,0.0005644
46,2061.36,0.08019,0.87244,1,0.5622,0.0005545,0.0005545,0.0005545
47,2106,0.06925,0.89066,1,0.44399,0.0005446,0.0005446,0.0005446
48,2150,0.07458,0.8861,1,0.41875,0.0005347,0.0005347,0.0005347
49,2194.46,0.07721,0.8861,1,0.54258,0.0005248,0.0005248,0.0005248
50,2238.71,0.08179,0.89066,1,0.46197,0.0005149,0.0005149,0.0005149
51,2282.64,0.08866,0.88383,1,0.48783,0.000505,0.000505,0.000505
52,2326.2,0.10162,0.88383,1,0.46654,0.0004951,0.0004951,0.0004951
53,2370.69,0.1214,0.88383,1,0.52885,0.0004852,0.0004852,0.0004852
54,2414.88,0.122,0.89522,1,0.4761,0.0004753,0.0004753,0.0004753
55,2459.45,0.09477,0.8861,1,0.49901,0.0004654,0.0004654,0.0004654
56,2503.99,0.06143,0.89522,1,0.38,0.0004555,0.0004555,0.0004555
57,2548.36,0.05657,0.90205,1,0.40303,0.0004456,0.0004456,0.0004456
58,2593.09,0.07218,0.88838,1,0.48633,0.0004357,0.0004357,0.0004357
59,2638.07,0.0705,0.89294,1,0.40276,0.0004258,0.0004258,0.0004258
60,2682.96,0.06374,0.88838,1,0.45982,0.0004159,0.0004159,0.0004159
61,2728.05,0.09055,0.89977,1,0.41222,0.000406,0.000406,0.000406
62,2772.35,0.07101,0.90205,1,0.39428,0.0003961,0.0003961,0.0003961
