                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76467,                0.74943,                      1,                0.98793,               0.067228,             0.00033103,             0.00033103
                      2,                0.52942,                0.79499,                      1,                0.96205,               0.034221,             0.00065779,             0.00065779
                      3,                0.44679,                0.86105,                      1,                0.89579,              0.0012078,             0.00097795,             0.00097795
                      4,                0.39498,                0.83371,                      1,                0.91581,              0.0009703,              0.0009703,              0.0009703
                      5,                0.33053,                0.86105,                      1,                0.88679,              0.0009604,              0.0009604,              0.0009604
                      6,                  0.319,                0.87927,                      1,                0.87068,              0.0009505,              0.0009505,              0.0009505
                      7,                0.28029,                0.83827,                      1,                0.90276,              0.0009406,              0.0009406,              0.0009406
                      8,                0.28199,                0.88383,                      1,                  0.869,              0.0009307,              0.0009307,              0.0009307
                      9,                0.24016,                0.87699,                      1,                 0.8637,              0.0009208,              0.0009208,              0.0009208
                     10,                0.23516,                0.90661,                      1,                0.84319,              0.0009109,              0.0009109,              0.0009109
                     11,                 0.2116,                0.90661,                      1,                0.84515,               0.000901,               0.000901,               0.000901
                     12,                0.18832,                0.87699,                      1,                0.86523,              0.0008911,              0.0008911,              0.0008911
                     13,                0.19632,                0.87016,                      1,                0.86921,              0.0008812,              0.0008812,              0.0008812
                     14,                0.21245,                0.90888,                      1,                0.84577,              0.0008713,              0.0008713,              0.0008713
                     15,                0.17308,                0.92255,                      1,                0.83615,              0.0008614,              0.0008614,              0.0008614
                     16,                0.16043,                0.87472,                      1,                0.86412,              0.0008515,              0.0008515,              0.0008515
                     17,                0.15257,                0.90888,                      1,                0.83719,              0.0008416,              0.0008416,              0.0008416
                     18,                0.12183,                 0.8861,                      1,                0.85393,              0.0008317,              0.0008317,              0.0008317
                     19,                0.12855,                0.90661,                      1,                0.84389,              0.0008218,              0.0008218,              0.0008218
                     20,                 0.1741,                0.87016,                      1,                0.88002,              0.0008119,              0.0008119,              0.0008119
                     21,                0.13009,                0.89749,                      1,                0.84152,               0.000802,               0.000802,               0.000802
                     22,                0.12622,                0.87699,                      1,                0.86335,              0.0007921,              0.0007921,              0.0007921
                     23,                0.15899,                0.89066,                      1,                0.85024,              0.0007822,              0.0007822,              0.0007822
                     24,                0.12385,                0.84966,                      1,                0.88881,              0.0007723,              0.0007723,              0.0007723
                     25,                0.12754,                0.89066,                      1,                0.85073,              0.0007624,              0.0007624,              0.0007624
                     26,                0.10161,                0.89066,                      1,                0.84235,              0.0007525,              0.0007525,              0.0007525
                     27,                0.10928,                0.90433,                      1,                0.84242,              0.0007426,              0.0007426,              0.0007426
                     28,                 0.0942,                0.89977,                      1,                0.84556,              0.0007327,              0.0007327,              0.0007327
                     29,                0.10971,                0.90661,                      1,                0.83684,              0.0007228,              0.0007228,              0.0007228
                     30,                0.09967,                0.90661,                      1,                0.83747,              0.0007129,              0.0007129,              0.0007129
                     31,                0.08986,                0.89977,                      1,                0.83929,               0.000703,               0.000703,               0.000703
                     32,                0.08074,                0.90661,                      1,                0.83782,              0.0006931,              0.0006931,              0.0006931
                     33,                 0.1079,                0.91572,                      1,                 0.8344,              0.0006832,              0.0006832,              0.0006832
                     34,                0.09066,                0.91344,                      1,                0.83754,              0.0006733,              0.0006733,              0.0006733
                     35,                0.08707,                0.90661,                      1,                0.84173,              0.0006634,              0.0006634,              0.0006634
