                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2739,                 1.8572,                 1.6176,                0.45064,                0.53219,                 0.4575,                0.28623,                 1.3123,                 1.8812,                 1.8156,               0.067057,             0.00033276,             0.00033276
                      1,                 1.2593,                 1.8431,                 1.6074,                0.49371,                0.68149,                0.55951,                0.35834,                 1.2215,                 1.5763,                 1.7274,               0.067057,             0.00033276,             0.00033276
                      1,                 1.2664,                 1.8262,                 1.6169,                0.54627,                0.72039,                0.61411,                0.42599,                   1.08,                 1.3527,                 1.5691,               0.067057,             0.00033276,             0.00033276
                      1,                 1.2642,                 1.8471,                  1.612,                0.45035,                0.67822,                0.53931,                0.35977,                 1.1686,                 1.4972,                 1.6643,               0.067057,             0.00033276,             0.00033276
                      2,                 1.2223,                 1.5794,                 1.5493,                0.50419,                0.71107,                0.61713,                0.42855,                 1.0784,                 1.5433,                 1.5827,               0.034051,             0.00065949,             0.00065949
                      3,                 1.2133,                 1.5213,                 1.5567,                0.48474,                0.70474,                0.55966,                0.38731,                 1.1122,                 1.4591,                 1.6241,              0.0010374,             0.00097963,             0.00097963
                      4,                   1.18,                 1.4431,                 1.5202,                0.61038,                0.76736,                0.75998,                0.53967,                  1.021,                 1.1013,                 1.4805,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.155,                 1.3851,                 1.4963,                0.63297,                0.72464,                0.70456,                0.51286,                 1.0021,                  1.146,                 1.4707,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1167,                 1.3221,                 1.4691,                0.62857,                0.74623,                0.76627,                0.56414,                0.97863,                 1.0667,                 1.4455,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0864,                 1.2723,                 1.4394,                0.60229,                0.77935,                0.77062,                 0.5589,                 1.0227,                 1.0374,                 1.4769,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.0718,                 1.2411,                 1.4264,                0.70803,                0.75804,                0.78425,                 0.5988,                0.92359,                0.94841,                 1.3975,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.0507,                 1.2206,                 1.4116,                0.63544,                0.74834,                 0.7559,                 0.5544,                 1.0066,                 1.0866,                 1.4307,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.0422,                 1.1751,                 1.4023,                0.66187,                0.70452,                0.77099,                0.58734,                0.94324,                  1.123,                 1.3857,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.0154,                 1.1177,                 1.3764,                0.67434,                 0.7729,                0.81321,                0.60398,                0.92563,                0.92326,                 1.4028,               0.000901,               0.000901,               0.000901
                     12,                 1.0105,                 1.1076,                 1.3736,                0.74978,                0.75548,                0.82406,                0.62682,                0.91335,                0.88745,                 1.3805,              0.0008911,              0.0008911,              0.0008911
                     13,                0.99446,                 1.0751,                 1.3658,                0.72236,                 0.7693,                  0.844,                0.64727,                0.91499,                0.89362,                 1.3589,              0.0008812,              0.0008812,              0.0008812
                     14,                0.98301,                  1.067,                 1.3587,                0.74108,                0.82102,                0.84922,                0.65571,                0.88738,                0.81548,                 1.3388,              0.0008713,              0.0008713,              0.0008713
                     15,                 0.9878,                 1.0648,                 1.3611,                  0.756,                0.77981,                0.83759,                0.64143,                0.89631,                 0.8247,                 1.3196,              0.0008614,              0.0008614,              0.0008614
                     16,                0.95795,                 1.0248,                 1.3376,                0.70684,                0.78838,                 0.8276,                0.63744,                0.87085,                0.91511,                 1.3631,              0.0008515,              0.0008515,              0.0008515
                     17,                0.94786,                 1.0165,                 1.3294,                0.78516,                0.76114,                0.86345,                0.65766,                0.90357,                0.80815,                 1.3495,              0.0008416,              0.0008416,              0.0008416
                     18,                 0.9546,                0.99079,                 1.3324,                0.81252,                0.77609,                0.86455,                0.66178,                0.88675,                0.77939,                 1.3279,              0.0008317,              0.0008317,              0.0008317
                     19,                0.94823,                0.96988,                 1.3271,                0.82498,                0.77475,                0.85528,                0.65952,                0.88422,                0.78155,                  1.344,              0.0008218,              0.0008218,              0.0008218
                     20,                0.95364,                0.97758,                 1.3326,                0.80188,                0.80547,                0.87114,                0.67858,                0.87056,                0.76253,                 1.3272,              0.0008119,              0.0008119,              0.0008119
                     21,                0.94404,                0.94306,                 1.3261,                 0.7829,                0.75668,                0.85137,                0.66339,                0.88424,                0.83459,                 1.3295,               0.000802,               0.000802,               0.000802
                     22,                0.92437,                0.93001,                 1.3143,                0.75402,                0.78479,                0.84436,                0.64542,                0.90512,                 0.8387,                 1.3294,              0.0007921,              0.0007921,              0.0007921
                     23,                0.91693,                0.90648,                 1.3025,                0.79682,                0.76554,                0.87195,                0.67033,                0.88859,                0.77084,                 1.3482,              0.0007822,              0.0007822,              0.0007822
                     24,                0.92283,                0.91645,                 1.3099,                0.82329,                0.81391,                0.87685,                0.68571,                0.86194,                0.75774,                 1.3005,              0.0007723,              0.0007723,              0.0007723
